lastname,firstname,Ccode,Word Count,distrust,task,bace,igb,sc,cc,power,name
Habyrimana,Juvenal,517,11579,0.249027237,0.630434783,0.420074349,0.145299145,0.295302013,0.546070461,0.318681319,Juvenal Habyrimana
Honeker ,Erich,265,22474,0.129886507,0.652433817,0.377708978,0.19109462,0.181818182,0.542656113,0.379821958,Erich Honeker 
Houphouet-Boigny,Felix,437,8427,0.244318182,0.508860759,0.367924528,0.170886076,0.292857143,0.47148289,0.304347826,Felix Houphouet-Boigny
Husak,Gustav,315,15333,0.158982512,0.556097561,0.369942197,0.221631206,0.105263158,0.48447205,0.383753501,Gustav Husak
Hussein,Saddam,645,82880,0.283588093,0.614103061,0.379004245,0.095043201,0.294117647,0.640795632,0.276090343,Saddam Hussein
Izetbegovic,Aliija,346,11660,0.167832168,0.610795455,0.325301205,0.094736842,0.349344978,0.663803681,0.229102167,Aliija Izetbegovic
Jaruzelski,Wojciech,290,18276,0.153119093,0.661742984,0.284,0.214983713,0.254237288,0.535576923,0.337349398,Wojciech Jaruzelski
Jayewardene ,Junius ,780,20313,0.183417085,0.644483363,0.327702703,0.152173913,0.293478261,0.593873518,0.289473684,Junius  Jayewardene 
Kadar,Janos ,310,4929,0.106796117,0.720149254,0.315436242,0.168949772,0.4,0.558823529,0.289473684,Janos  Kadar
Khan,Yhya,770,4841,0.380165289,0.678362573,0.326732673,0.25,0.38028169,0.515748031,0.35,Yhya Khan
Krushchev,Nakita,365,6682,0.206225681,0.699453552,0.477876106,0.163265306,0.583333333,0.570114943,0.373913043,Nakita Krushchev
Kumaratunga,Chandrinka,780,178903,0.188950926,0.667689434,0.300396236,0.160257941,0.270453361,0.544309756,0.294845882,Chandrinka Kumaratunga
Lenin,Vladimir,365,43515,0.277439024,0.631346578,0.367924528,0.166869671,0.274193548,0.465833659,0.297959184,Vladimir Lenin
Lubumba,Patrice,490,5215,0.221428571,0.531914894,0.407692308,0.272189349,0.111111111,0.41588785,0.335616438,Patrice Lubumba
Marcos ,Ferdinand,840,86463,0.203571429,0.752944476,0.309278351,0.113614573,0.484042553,0.593529092,0.29631728,Ferdinand Marcos 
Mendes,Pierre ,220,18680,0.142523364,0.660273973,0.373303167,0.136666667,0.360946746,0.563456346,0.277272727,Pierre  Mendes
Milosevic,Slobodan,345,32644,0.181818182,0.586144029,0.326530612,0.145510836,0.525252525,0.508509755,0.309171598,Slobodan Milosevic
Netanyahu,Benjamin,666,629561,0.177192159,0.505460735,0.383745841,0.164903763,0.376313698,0.553466378,0.280378163,Benjamin Netanyahu
Nimeiry,Gaafar,625,6985,0.174887892,0.627118644,0.19047619,0.208791209,0.259259259,0.527896996,0.292307692,Gaafar Nimeiry
Nu,U,775,82180,0.257448004,0.607377049,0.357379219,0.15720524,0.299465241,0.580213297,0.292216359,U Nu
Olmert,Ehud,666,322236,0.160388821,0.55132236,0.35315035,0.148418491,0.321807538,0.534769486,0.255053373,Ehud Olmert
Putin ,Vladimir ,365,9434,0.118644068,0.725490196,0.326359833,0.149038462,0.339622642,0.545762712,0.260683761,Vladimir  Putin 
Rajapaska ,Mahinda,780,18442,0.130742049,0.67979798,0.351503759,0.234899329,0.274390244,0.476534296,0.38606403,Mahinda Rajapaska 
Ramos,Fidel,840,20961,0.155555556,0.685606061,0.337442219,0.131230926,0.319672131,0.493695441,0.289393939,Fidel Ramos
Sadat,Anwar,651,52049,0.223754789,0.622525919,0.346925972,0.197044335,0.257668712,0.499298246,0.310769231,Anwar Sadat
Sese Seko,Mobutu,490,4098,0.118421053,0.630769231,0.248,0.126315789,0.434782609,0.560150376,0.2890625,Mobutu Sese Seko
Sharon,Ariel,666,81937,0.139211137,0.638011879,0.335826772,0.148456057,0.297945205,0.472471501,0.281948882,Ariel Sharon
Singh,Charan,750,14089,0.151515152,0.669776119,0.303333333,0.130612245,0.248587571,0.585430464,0.260135135,Charan Singh
Tito,Josip,345,17163,0.247379455,0.646969697,0.365591398,0.201834862,0.436090226,0.584588131,0.31092437,Josip Tito
Ulbricht,Walter,265,6618,0.118541033,0.672535211,0.386666667,0.139784946,0.125,0.551282051,0.216216216,Walter Ulbricht
Vajpayee,Bihary,750,52589,0.124643197,0.649684619,0.295877122,0.185739437,0.224193548,0.586108855,0.259410802,Bihary Vajpayee
Yabuku,Gowon ,475,4976,0.1640625,0.552631579,0.314285714,0.263157895,0.316666667,0.450549451,0.338235294,Gowon  Yabuku
Yeltsin,Boris,365,8938,0.074349442,0.575520833,0.404255319,0.105263158,0.411392405,0.601410935,0.277777778,Boris Yeltsin
Zedong,Mao,710,151363,0.26180772,0.627532777,0.381013884,0.105367793,0.448210923,0.632410256,0.263875042,Mao Zedong
Zhivkov,Todor,355,13230,0.158953722,0.629322268,0.362126246,0.157647059,0.359375,0.51884058,0.325503356,Todor Zhivkov
