lastname,firstname,Ccode,Word Count,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Baldwin,Stanley,200,426048,0.654311354,0.305501366,0.293737571,0.345688646,0.557159579,0.597737027,0.028482247,0.200936403,0.0823254,0.012875536,0.077643387,0.411780348,0.191020698,0.140041751,0.254165014,0.964406286,Stanley Baldwin
Barre ,Mohamed,520,7945,0.276595745,0.092198582,0.171027614,0.723404255,0.510638298,0.489361702,0,0.14893617,0.170212766,0.085106383,0.106382979,0.309090909,0.162121212,0.101041322,0.176029963,0.9822137,Mohamed Barre 
Bhutto,Zulfikar,770,26474,0.416666667,0.185763889,0.190755208,0.583333333,0.46875,0.515625,0.03125,0.161458333,0.151041667,0.067708333,0.072916667,0.154696133,0.020257827,0.123099112,0.209606987,0.974197566,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,0.428571429,0.444444444,0.210884354,0.571428571,0.761904762,0.142857143,0.047619048,0.523809524,0.19047619,0,0.095238095,0.425605536,0.281430219,0.087309778,0.067741935,0.994085467,Boleslaw Bierut
Blair,Tony,200,1118448,0.579487179,0.255958716,0.237480856,0.420512821,0.509337204,0.561296565,0.065795839,0.162651185,0.099564586,0.018674407,0.092017417,0.348578871,0.158150106,0.106687396,0.283609122,0.969742481,Tony Blair
Brezhnev,Leonid ,365,31073,0.509202454,0.255623722,0.198223494,0.490797546,0.527607362,0.515337423,0.049079755,0.190184049,0.147239264,0.024539877,0.073619632,0.377005348,0.18627451,0.121795018,0.178924259,0.978207917,Leonid  Brezhnev
Buchanan,James,2,60490,0.623036649,0.258289703,0.290545764,0.376963351,0.64921466,0.591623037,0.015706806,0.204188482,0.036649215,0.031413613,0.120418848,0.229122056,0.057637402,0.111934577,0.092763477,0.989616559,James Buchanan
Bush,GeorgeH.W.,2,2974409,0.538310079,0.200586165,0.268690083,0.461689921,0.481379638,0.591268629,0.046372679,0.131513732,0.094069321,0.027599552,0.109176087,0.516476909,0.232219187,0.188412834,0.27800638,0.94762003,GeorgeH.W. Bush
Bush,GeorgeW,2,5594647,0.622441471,0.246710016,0.31061903,0.377558529,0.467600727,0.623853073,0.046552837,0.140814825,0.071270892,0.024522833,0.092985539,0.458730368,0.218150076,0.145607116,0.294374304,0.957137007,GeorgeW Bush
Callaghan,James,200,417866,0.672708169,0.297084318,0.342322705,0.327291831,0.423955871,0.643814027,0.038350407,0.154189651,0.093249278,0.012608353,0.057788285,0.420836955,0.211805124,0.127748294,0.320994941,0.958993444,James Callaghan
Campbell,Henry,200,112876,0.642201835,0.291539246,0.283870606,0.357798165,0.504587156,0.596330275,0.051987768,0.172782875,0.093272171,0.006116208,0.079510703,0.428964253,0.215551482,0.14047456,0.230606488,0.967605655,Henry Campbell
Carter,Jimmy,2,2803694,0.521221272,0.231490801,0.205638204,0.478778728,0.55762456,0.529818822,0.055569535,0.175222278,0.110216407,0.025582956,0.103590002,0.440655462,0.224192277,0.129867342,0.278544894,0.963826115,Jimmy Carter
Castro,Fidel,40,3866012,0.408327174,0.190194629,0.135664217,0.591672826,0.611185021,0.454446908,0.060064055,0.189652624,0.13466371,0.045232816,0.115939887,0.233841248,0.098594524,0.088445765,0.176484399,0.984390702,Fidel Castro
Ceausescu,Nicolae,360,12286,0.45,0.133333333,0.28075,0.55,0.25,0.6,0.0875,0.0375,0.15,0.0375,0.0875,0.379562044,0.218978102,0.093846236,0.225988701,0.978791811,Nicolae Ceausescu
Cecil,Robert,200,270824,0.447838617,0.179442843,0.238653323,0.552161383,0.457636888,0.557925072,0.031700288,0.134293948,0.160806916,0.02074928,0.094524496,0.254187373,0.094791091,0.101450479,0.242047991,0.975444115,Robert Cecil
Chamberlain,Neville,200,416122,0.556869882,0.265999393,0.224678734,0.443130118,0.607825296,0.536851683,0.033212011,0.208371247,0.108280255,0.017743403,0.095541401,0.383418486,0.177697786,0.11933564,0.20333025,0.975735454,Neville Chamberlain
Chavez,Hugo,101,38670,0.43620178,0.179030663,0.181262492,0.56379822,0.599406528,0.504451039,0.038575668,0.175074184,0.118694362,0.038575668,0.12462908,0.185877466,-0.000692281,0.135362946,0.259230769,0.964909759,Hugo Chavez
Churchill,Winston,200,252695,0.587933248,0.26508344,0.248166159,0.412066752,0.540436457,0.566752246,0.046213094,0.181001284,0.094351733,0.022464698,0.089216945,0.360611697,0.161190329,0.126780279,0.243551665,0.969122452,Winston Churchill
Ciller,Tansu,640,6697,0.545454545,0.333333333,0.18953168,0.454545455,0.848484848,0.439393939,0,0.333333333,0.106060606,0.03030303,0.090909091,0.159763314,0.102564103,0.087090788,0.280851064,0.97554046,Tansu Ciller
Cleveland,Grover,2,120275,0.666666667,0.281045752,0.336691016,0.333333333,0.549019608,0.633986928,0.019607843,0.179738562,0.058823529,0.013071895,0.094771242,0.36475707,0.169446459,0.123399492,0.068872384,0.991501183,Grover Cleveland
Clinton,William,2,7514450,0.592561785,0.239373476,0.288835237,0.407438215,0.485034752,0.605320664,0.04524115,0.145719079,0.089396738,0.017524073,0.096798297,0.482258278,0.230971416,0.157313354,0.28990003,0.954394854,William Clinton
Coolidge,Calvin,2,287850,0.527777778,0.253637566,0.194536565,0.472222222,0.783730159,0.488095238,0.024801587,0.250992063,0.083333333,0.011904762,0.140873016,0.428099174,0.242607897,0.130659017,0.12191582,0.984070599,Calvin Coolidge
Desai ,Morarji,750,38852,0.614973262,0.295900178,0.273802511,0.385026738,0.513368984,0.582887701,0.032085561,0.192513369,0.112299465,0.016042781,0.064171123,0.524861878,0.30985267,0.137388969,0.205268935,0.971798313,Morarji Desai 
Disraeli,Benjamin,200,298299,0.519571046,0.217336908,0.254663974,0.480428954,0.439678284,0.576407507,0.046648794,0.136729223,0.135656836,0.021447721,0.08310992,0.365562914,0.161865342,0.138136091,0.235926629,0.967410018,Benjamin Disraeli
Douglas-Home,Alec,200,85850,0.640677966,0.296610169,0.282109739,0.359322034,0.538983051,0.591525424,0.037288136,0.191525424,0.086440678,0.015254237,0.077966102,0.457800512,0.215473146,0.168657322,0.273909006,0.953803241,Alec Douglas-Home
Eden,Anthony,200,158277,0.609467456,0.263454494,0.294807748,0.390532544,0.483516484,0.60693153,0.038038884,0.159763314,0.100591716,0.012679628,0.081994928,0.472166331,0.216074223,0.174654635,0.284033613,0.950392213,Anthony Eden
Eisenhower,Dwight,2,1422675,0.582780125,0.251022598,0.271695205,0.417219875,0.515389258,0.587809294,0.036310601,0.167270167,0.098471133,0.019714343,0.090424462,0.461170128,0.21270546,0.161394831,0.23969911,0.961313803,Dwight Eisenhower
Estrada,Joseph,840,17422,0.458646617,0.248120301,0.112533213,0.541353383,0.616541353,0.421052632,0.097744361,0.210526316,0.135338346,0.037593985,0.097744361,0.319910515,0.125279642,0.113469363,0.229310345,0.973980301,Joseph Estrada
Faure,Edgard,220,4389,0.75,0.375,0.353125,0.25,0.625,0.625,0,0.25,0.0625,0,0.0625,0.12195122,0.048780488,0.096569502,0.115107914,0.988884086,Edgard Faure
Ferdinand ,Francisco,230,6454,0.0625,-0.010416667,0.05078125,0.9375,0.625,0.3125,0.09375,0.125,0.21875,0.0625,0.1875,0.172839506,0.014403292,0.06785551,0.164948454,0.988807339,Francisco Ferdinand 
Fillmore,Millard,2,32096,0.784946237,0.318996416,0.467776622,0.215053763,0.516129032,0.720430108,0,0.172043011,0.021505376,0,0.086021505,0.415794481,0.200444022,0.143850857,0.081293706,0.988305831,Millard Fillmore
Ford,Gerald,2,346163,0.544623656,0.235125448,0.24553642,0.455376344,0.469892473,0.569354839,0.051612903,0.151344086,0.117741935,0.026344086,0.083602151,0.448524118,0.216422686,0.141817734,0.308611249,0.956233452,Gerald Ford
Franco,Francisco,230,4145,0,-0.083333333,0.058333333,1,0.416666667,0.333333333,0.125,0.041666667,0.208333333,0.125,0.166666667,0.316239316,0.145299145,0.073416612,0.170212766,0.987503555,Francisco Franco
Gaddafi,Muammar,620,20183,0.150837989,0.076350093,0.123622858,0.849162011,0.491620112,0.396648045,0.033519553,0.145251397,0.279329609,0.044692737,0.100558659,-0.027692308,-0.12,0.097554556,0.215922799,0.978935747,Muammar Gaddafi
Gandhi,Indira ,750,48850,0.35347432,0.140986908,0.176502588,0.64652568,0.586102719,0.486404834,0.033232628,0.157099698,0.181268882,0.006042296,0.135951662,0.196794301,0.100920154,0.082256613,0.227647868,0.981274457,Indira  Gandhi
Gandhi,Rajiv,750,51222,0.463636364,0.226515152,0.17957438,0.536363636,0.563636364,0.493181818,0.056818182,0.181818182,0.163636364,0.004545455,0.1,0.34063745,0.187583001,0.08833828,0.304709141,0.973082518,Rajiv Gandhi
George,David,200,461334,0.567862715,0.237519501,0.25340062,0.432137285,0.53276131,0.573712949,0.049141966,0.161076443,0.094773791,0.01599064,0.105304212,0.308128155,0.126369287,0.112936434,0.208947926,0.976402166,David George
Gierek,Edward,290,5697,0.587301587,0.26984127,0.271352986,0.412698413,0.444444444,0.587301587,0.047619048,0.158730159,0.126984127,0.015873016,0.063492063,0.529411765,0.31372549,0.152018454,0.381818182,0.94195659,Edward Gierek
Gladstone,William,200,213496,0.487889273,0.206459054,0.2466254,0.512110727,0.480968858,0.564878893,0.026816609,0.152249135,0.144463668,0.023356401,0.088235294,0.343472157,0.148338793,0.129206448,0.212891344,0.972493066,William Gladstone
Gomulka,Wladyslaw,290,5153,0.5,0.260416667,0.109375,0.5,0.875,0.375,0.09375,0.28125,0.03125,0.0625,0.15625,0.484536082,0.29209622,0.121521947,0.248062016,0.969855021,Wladyslaw Gomulka
Gorbachev,Mikhail,365,21043,0.718518519,0.291358025,0.411884774,0.281481481,0.355555556,0.696296296,0.044444444,0.118518519,0.074074074,0.007407407,0.059259259,0.36643026,0.17178881,0.130975974,0.241935484,0.968312264,Mikhail Gorbachev
Grant,Ulysses,2,75300,0.779411765,0.346813725,0.438765138,0.220588235,0.419117647,0.705882353,0.014705882,0.169117647,0.058823529,0.011029412,0.040441176,0.443307409,0.226361032,0.134403407,0.100184162,0.986534907,Ulysses Grant
Guevara,Che,160,61710,0.342019544,0.136807818,0.146838693,0.657980456,0.586319218,0.462540717,0.052117264,0.156351792,0.169381107,0.022801303,0.136807818,0.08183401,-0.032501451,0.08382045,0.151231527,0.987323705,Che Guevara
Guofeng,Hua,710,5446,-0.130434783,0,0.119848771,0.869565217,0.782608696,0.086956522,0,0.347826087,0.260869565,0.043478261,0.260869565,0.028169014,0.021126761,0.086966872,0.139393939,0.987877345,Hua Guofeng
Gustav,Husak,315,50956,0.573604061,0.340101523,0.194516736,0.426395939,0.639593909,0.482233503,0.040609137,0.263959391,0.147208122,0.010152284,0.055837563,0.347234814,0.205500151,0.092285525,0.151538462,0.986015194,Husak Gustav
Habyrimana,Juvenal,517,11579,0.684210526,0.266666667,0.385440443,0.315789474,0.484210526,0.673684211,0.021052632,0.147368421,0.052631579,0.010526316,0.094736842,0.349056604,0.141509434,0.124336953,0.183044316,0.977240828,Juvenal Habyrimana
Harding,Warren,2,89762,0.488752556,0.227675528,0.184653795,0.511247444,0.613496933,0.503067485,0.040899796,0.200408998,0.114519427,0.034764826,0.106339468,0.368510638,0.188368794,0.109525903,0.172243748,0.981134848,Warren Harding
Harris,Benjamin,2,60949,0.593582888,0.262032086,0.27407704,0.406417112,0.631016043,0.577540107,0.016042781,0.203208556,0.085561497,0.005347594,0.112299465,0.432632177,0.235550502,0.123644404,0.096094553,0.988118446,Benjamin Harris
Harrison,William,2,8469,0.555555556,0.351851852,0.17037037,0.444444444,0.666666667,0.444444444,0.055555556,0.277777778,0.166666667,0,0.055555556,0.305785124,0.125344353,0.123748378,0.069230769,0.991432805,William Harrison
Hayes,Rutherford,2,47108,0.797297297,0.353603604,0.432870709,0.202702703,0.513513514,0.695945946,0.006756757,0.195945946,0.027027027,0.013513514,0.060810811,0.494071146,0.251427317,0.155002161,0.088835534,0.9862303,Rutherford Hayes
Heath,Edward,200,464002,0.640025575,0.308930094,0.278583016,0.359974425,0.537723785,0.585358056,0.034207161,0.20044757,0.100063939,0.011508951,0.068414322,0.469769419,0.238798569,0.151074284,0.24946168,0.962312755,Edward Heath
Honeker ,Erich,265,22474,0.791304348,0.402898551,0.30894518,0.208695652,0.469565217,0.608695652,0.086956522,0.2,0.069565217,0,0.034782609,0.408759124,0.217153285,0.110365496,0.173453997,0.980856664,Erich Honeker 
Hoover,Herbert,2,334174,0.615681234,0.317266495,0.205349224,0.384318766,0.70437018,0.505784062,0.052699229,0.249357326,0.079691517,0.009640103,0.102827763,0.388007302,0.220381033,0.11519473,0.179324651,0.979342745,Herbert Hoover
Houphouet-Boigny,Felix,437,8427,0.36,0.1,0.20248,0.64,0.5,0.53,0.04,0.11,0.14,0.04,0.14,0.330357143,0.145833333,0.101674107,0.308641975,0.968619103,Felix Houphouet-Boigny
Husak,Gustav,315,15333,0.728571429,0.330952381,0.418367347,0.271428571,0.357142857,0.692857143,0.021428571,0.15,0.107142857,0,0.028571429,0.347721823,0.179056755,0.109114435,0.251346499,0.972574469,Gustav Husak
Hussein,Saddam,645,82880,0.166666667,0.017006803,0.103803971,0.833333333,0.602040816,0.413265306,0.039115646,0.130952381,0.170068027,0.076530612,0.170068027,0.139513951,-0.010351035,0.086309801,0.209252669,0.981939444,Saddam Hussein
Izetbegovic,Aliija,346,11660,0.483870968,0.168458781,0.280194242,0.516129032,0.516129032,0.591397849,0.021505376,0.129032258,0.129032258,0,0.129032258,0.166666667,0.004273504,0.100493097,0.22962963,0.976923807,Aliija Izetbegovic
Jackson,Andrew,2,88220,0.66255144,0.315500686,0.307341361,0.33744856,0.559670782,0.604938272,0.016460905,0.209876543,0.086419753,0.012345679,0.069958848,0.447476126,0.213278763,0.143184022,0.076535433,0.989041349,Andrew Jackson
Jaruzelski,Wojciech,290,18276,0.438202247,0.161048689,0.185557379,0.561797753,0.719101124,0.494382022,0.04494382,0.179775281,0.101123596,0,0.179775281,0.279642058,0.093214019,0.111331321,0.166044776,0.981514016,Wojciech Jaruzelski
Jayewardene ,Junius ,780,20313,0.642857143,0.35515873,0.159608844,0.357142857,0.630952381,0.464285714,0.119047619,0.238095238,0.083333333,0.017857143,0.077380952,0.330693069,0.172277228,0.10526419,0.249628529,0.973723055,Junius  Jayewardene 
Jefferson,Thomas,2,24594,0.53125,0.223958333,0.2453125,0.46875,0.5625,0.5625,0.03125,0.171875,0.109375,0.015625,0.109375,0.384236453,0.153940887,0.129767769,0.073059361,0.99051925,Thomas Jefferson
Johnson,Andrew,2,39323,0.443037975,0.232067511,0.128985739,0.556962025,0.784810127,0.417721519,0.050632911,0.253164557,0.113924051,0.025316456,0.139240506,0.244408946,0.085197018,0.10375578,0.059353869,0.993841693,Andrew Johnson
Johnson,Lyndon,2,1160642,0.579345822,0.238635996,0.256069564,0.420654178,0.518295642,0.57847229,0.054935456,0.156265165,0.082306124,0.025138309,0.102882656,0.451315182,0.226888171,0.13234691,0.283774479,0.962443325,Lyndon Johnson
Kadar,Janos ,310,4929,0.59375,0.239583333,0.408789062,0.40625,0.25,0.6875,0.015625,0.09375,0.15625,0.015625,0.03125,0.361344538,0.168067227,0.107181696,0.349726776,0.962515691,Janos  Kadar
Kennedy,John,2,559143,0.462672373,0.165557141,0.212339549,0.537327627,0.658107466,0.52853067,0.034950071,0.167855445,0.09320019,0.014265335,0.161198288,0.375272162,0.189191291,0.1130661,0.24645494,0.972134301,John Kennedy
Khan,Yhya,770,4841,0.47826087,0.188405797,0.260491493,0.52173913,0.608695652,0.565217391,0,0.173913043,0.130434783,0,0.130434783,0.184210526,0.032894737,0.103531856,0.131428571,0.986392956,Yhya Khan
Krushchev,Nakita,365,6682,0.365853659,0.113821138,0.164782867,0.634146341,0.634146341,0.487804878,0.024390244,0.170731707,0.073170732,0.097560976,0.146341463,0.342995169,0.149758454,0.116992229,0.165322581,0.980658543,Nakita Krushchev
Kumaratunga,Chandrinka,780,178903,0.559352518,0.264688249,0.199395088,0.440647482,0.679856115,0.509892086,0.050359712,0.21942446,0.086330935,0.013489209,0.120503597,0.390950032,0.212166702,0.106291888,0.192554113,0.97953306,Chandrinka Kumaratunga
Law,Bonar,200,37148,0.583941606,0.271289538,0.260205658,0.416058394,0.532846715,0.572992701,0.032846715,0.186131387,0.113138686,0.01459854,0.080291971,0.507374631,0.243362832,0.171958128,0.287815126,0.95050785,Bonar Law
Lenin,Vladimir,365,43515,0.086419753,-0.053497942,0.122267947,0.913580247,1,0.345679012,0.00617284,0.191358025,0.12962963,0.018518519,0.308641975,0.021834061,-0.05705968,0.072107397,0.123947972,0.991062434,Vladimir Lenin
Lincoln,Abraham ,2,32548,0.660714286,0.336309524,0.291709184,0.339285714,0.625,0.580357143,0.008928571,0.241071429,0.098214286,0,0.071428571,0.418181818,0.215948963,0.129327625,0.096802074,0.987480818,Abraham  Lincoln
Lubumba,Patrice,490,5215,0.434782609,0.166666667,0.216257089,0.565217391,0.347826087,0.543478261,0.043478261,0.130434783,0.086956522,0.152173913,0.043478261,0.246753247,0.090909091,0.082543431,0.23,0.981015011,Patrice Lubumba
MacDonald,Ramsay,200,436494,0.602489304,0.265914689,0.271925121,0.397510696,0.497082847,0.589264877,0.043173862,0.168805912,0.092959938,0.026059899,0.079735511,0.432864527,0.213807749,0.135869501,0.236088154,0.96792282,Ramsay MacDonald
MacMillan,Harold,200,668485,0.604599735,0.264337314,0.290455292,0.395400265,0.516585582,0.600840336,0.028748341,0.17271119,0.09752322,0.014595312,0.085581601,0.433171223,0.205349656,0.154102026,0.274927043,0.957633186,Harold MacMillan
Madison,James,2,24056,0.574468085,0.29787234,0.201448619,0.425531915,0.893617021,0.468085106,0.021276596,0.29787234,0.063829787,0,0.14893617,0.28042328,0.119047619,0.103149408,0.058530511,0.993962612,James Madison
Major,John,200,717724,0.716880758,0.424332858,0.232466832,0.283119242,0.74270144,0.499286363,0.042169456,0.316984559,0.075905021,0.011288439,0.054366161,0.385435169,0.182356424,0.120306376,0.336432687,0.959525003,John Major
Marcos ,Ferdinand,840,86463,0.476861167,0.234741784,0.158446858,0.523138833,0.704225352,0.464788732,0.046277666,0.227364185,0.112676056,0.024144869,0.124748491,0.493044822,0.331616005,0.121810249,0.203855619,0.975168296,Ferdinand Marcos 
McKinley,William,2,82726,0.673469388,0.350340136,0.282798834,0.326530612,0.673469388,0.566326531,0.005102041,0.265306122,0.076530612,0.015306122,0.071428571,0.455982752,0.230806085,0.148310058,0.065793891,0.990242104,William McKinley
Mendes,Pierre ,220,18680,0.453125,0.177083333,0.190673828,0.546875,0.59375,0.515625,0.046875,0.1640625,0.109375,0.03125,0.1328125,0.407098121,0.212943633,0.114533148,0.210873147,0.975848035,Pierre  Mendes
Milosevic,Slobodan,345,32644,0.381642512,0.115942029,0.184092978,0.618357488,0.608695652,0.507246377,0.043478261,0.140096618,0.115942029,0.028985507,0.164251208,0.144876325,0.014134276,0.088011254,0.196022727,0.982747794,Slobodan Milosevic
Monroe,James,2,50596,0.544554455,0.306930693,0.173963337,0.455445545,0.831683168,0.445544554,0.02970297,0.297029703,0.099009901,0.00990099,0.118811881,0.465648855,0.20610687,0.174697824,0.055986696,0.990219246,James Monroe
Netanyahu,Benjamin,666,629561,0.540497618,0.252985119,0.194218756,0.459502382,0.535027351,0.519851773,0.074113287,0.176283748,0.112758073,0.02576319,0.091229928,0.265323618,0.102055396,0.091664754,0.257614329,0.976385846,Benjamin Netanyahu
Nimeiry,Gaafar,625,6985,0.75,0.416666667,0.2125,0.25,0.916666667,0.458333333,0.083333333,0.333333333,0,0,0.125,0.296442688,0.175230567,0.107438017,0.086642599,0.990691291,Gaafar Nimeiry
Nixon,Richard,2,685782,0.501538462,0.202564103,0.209845032,0.498461538,0.55965812,0.536239316,0.054871795,0.15965812,0.101367521,0.027692308,0.12017094,0.4363272,0.210987632,0.132974569,0.262132007,0.965143109,Richard Nixon
Nu,U,775,82180,0.54822335,0.223350254,0.223783143,0.45177665,0.629441624,0.543147208,0.045685279,0.185279188,0.060913706,0.035532995,0.129441624,0.279801325,0.081677704,0.122438983,0.140213523,0.982832399,U Nu
Obama,Barack,2,5296220,0.449131204,0.183685361,0.167356121,0.550868796,0.626698575,0.490458849,0.059202997,0.174903756,0.106794298,0.030194569,0.138445531,0.413704984,0.194765964,0.130162545,0.255943885,0.966685693,Barack Obama
Olmert,Ehud,666,322236,0.52529511,0.235525576,0.182566138,0.47470489,0.484822934,0.515598651,0.09148398,0.155564924,0.102866779,0.047639123,0.086846543,0.370922168,0.186146074,0.093972168,0.233510534,0.978056509,Ehud Olmert
Pierce,Franklin,2,45797,0.510204082,0.238095238,0.204331529,0.489795918,0.693877551,0.510204082,0.020408163,0.224489796,0.102040816,0.020408163,0.12244898,0.285519126,0.119535519,0.106159858,0.062740077,0.993339522,Franklin Pierce
Polk,James,2,78118,0.487179487,0.148717949,0.297830375,0.512820513,0.564102564,0.605128205,0.005128205,0.133333333,0.092307692,0.015384615,0.148717949,0.25755287,0.087865055,0.110865865,0.068589518,0.992395764,James Polk
Putin ,Vladimir ,365,9434,0.76119403,0.298507463,0.416707507,0.23880597,0.328358209,0.701492537,0.074626866,0.104477612,0.029850746,0.029850746,0.059701493,0.472340426,0.253900709,0.094062472,0.221854305,0.979131836,Vladimir  Putin 
Rajapaska ,Mahinda,780,18442,0.693989071,0.380692168,0.159652423,0.306010929,0.579234973,0.464480874,0.158469945,0.224043716,0.06010929,0.027322404,0.06557377,0.571428571,0.351020408,0.115198667,0.27191679,0.968675548,Mahinda Rajapaska 
Ramos,Fidel,840,20961,0.471502591,0.250431779,0.149829526,0.528497409,0.766839378,0.440414508,0.03626943,0.259067358,0.113989637,0.025906736,0.124352332,0.515981735,0.315068493,0.151410521,0.305863708,0.953689017,Fidel Ramos
Reagan,Ronald,2,3718434,0.465941906,0.168427609,0.204927019,0.534058094,0.607915747,0.528520469,0.048717513,0.155732971,0.094411415,0.02439273,0.148224902,0.384918352,0.161913086,0.134221443,0.245654006,0.967027965,Ronald Reagan
Roosevelt,Franklin,2,1021925,0.496162173,0.206980253,0.203413375,0.503837827,0.630584531,0.522338122,0.043101752,0.182641212,0.100964377,0.018303484,0.132651053,0.33643292,0.151272588,0.108442885,0.195844897,0.978762014,Franklin Roosevelt
Roosevelt,Theodore,2,159228,0.639065817,0.30856334,0.281896493,0.360934183,0.55626327,0.585987261,0.025477707,0.208067941,0.095541401,0.014861996,0.070063694,0.332796781,0.175117371,0.109341732,0.08656497,0.990534836,Theodore Roosevelt
Russell,John,200,516503,0.43960485,0.178266727,0.224140841,0.56039515,0.458015267,0.546475079,0.037718904,0.135608442,0.159856309,0.026942075,0.093399192,0.281091829,0.115118101,0.11954748,0.167556993,0.979968984,John Russell
Sadat,Anwar,651,52049,0.267108168,0.098601913,0.135651945,0.732891832,0.534216336,0.450331126,0.039735099,0.143487859,0.19205298,0.050772627,0.123620309,0.180507893,0.036376115,0.096802081,0.237172775,0.977041182,Anwar Sadat
Sese Seko,Mobutu,490,4098,0.6,0.346666667,0.1744,0.4,0.56,0.48,0.08,0.24,0.12,0.04,0.04,0.325,0.1,0.161125,0.238095238,0.961636905,Mobutu Sese Seko
Sharon,Ariel,666,81937,0.579084967,0.258823529,0.216383442,0.420915033,0.501960784,0.545098039,0.081045752,0.163398693,0.087581699,0.035294118,0.087581699,0.394379845,0.200904393,0.089821638,0.270413574,0.97571101,Ariel Sharon
Singh,Charan,750,14089,0.634146341,0.296747967,0.262581797,0.365853659,0.390243902,0.585365854,0.073170732,0.158536585,0.085365854,0.06097561,0.036585366,0.472312704,0.30184582,0.103090749,0.210796915,0.978268788,Charan Singh
Steel,David,200,52290,0.267379679,0.058823529,0.16860648,0.732620321,0.513368984,0.486631016,0.045454545,0.101604278,0.181818182,0.029411765,0.155080214,0.239282931,0.083138478,0.099606886,0.225709113,0.977517818,David Steel
Taft,William,2,83409,0.742971888,0.305220884,0.438602603,0.257028112,0.457831325,0.706827309,0.008032129,0.156626506,0.052208835,0.004016064,0.072289157,0.421336654,0.224712882,0.129166415,0.093679458,0.98789976,William Taft
Taylor,Zachary,2,8795,0.764705882,0.222222222,0.628143022,0.235294118,0.274509804,0.823529412,0.019607843,0.039215686,0.019607843,0,0.098039216,0.513513514,0.274131274,0.153858768,0.164516129,0.974687751,Zachary Taylor
Thatcher,Margaret,200,1258396,0.728591414,0.414868812,0.269095127,0.271408586,0.718209263,0.537589279,0.022016052,0.304690376,0.074736765,0.006553273,0.054414255,0.418835743,0.213409962,0.122899226,0.334911593,0.958839624,Margaret Thatcher
Tito,Josip,345,17163,0.5,0.253787879,0.178099174,0.5,0.795454545,0.465909091,0.022727273,0.261363636,0.102272727,0.011363636,0.136363636,0.179166667,0.032638889,0.086458333,0.154929577,0.986605047,Josip Tito
